t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7,dmin
0.445,-0.633220229,-0.0847071632,1.26693861,1.58684018,-1.50397096,1.74490329,0.663158802,-0.191305637,-0.351054972,-1.27926539,1.64933614,1.04334567,1.2843625,0.527585066,0.497003482,-0.857296617,0.00811931555
0.45,-0.615435586,-0.0828178874,1.27712483,1.58695633,-1.5041684,1.74929133,0.647359604,-0.192041212,-0.33845638,-1.28984859,1.64933614,1.05394863,1.29786102,0.507028922,0.479227851,-0.851307464,0.00813987159
0.455,-0.597527857,-0.0809402019,1.28728796,1.58706888,-1.50418485,1.75345127,0.631362489,-0.192505592,-0.325579837,-1.30024832,1.64933614,1.06435121,1.31128397,0.486730354,0.461598317,-0.844975861,0.00816046054
0.46,-0.57951702,-0.0790749879,1.29741603,1.58717885,-1.50401783,1.75738357,0.6151932,-0.192688824,-0.312449918,-1.31045936,1.64933614,1.07455379,1.32462605,0.466683431,0.444132323,-0.838318804,0.0081810596
0.465,-0.561423204,-0.0772231163,1.30749707,1.58728688,-1.50366526,1.7610894,0.598877907,-0.192582603,-0.299091978,-1.32047674,1.64933614,1.08455623,1.33788174,0.446883367,0.426846943,-0.831353481,0.00820164397
0.47,-0.543266668,-0.0753854473,1.31751913,1.58739355,-1.50312589,1.76457065,0.582443487,-0.192180098,-0.2855324,-1.3302958,1.64933614,1.09435815,1.35104532,0.427326385,0.409758762,-0.824097144,0.00822218855
0.475,-0.525067778,-0.0735628294,1.3274704,1.58749978,-1.50239966,1.76782988,0.56591773,-0.191475839,-0.271798783,-1.33991224,1.64933614,1.10395895,1.36411088,0.408009684,0.392883834,-0.816567123,0.00824266946
0.48,-0.506846986,-0.0717560994,1.33733919,1.5876059,-1.50148685,1.77087037,0.549328345,-0.190466348,-0.257918939,-1.34932216,1.64933614,1.11335782,1.37707233,0.388931419,0.37623765,-0.808780846,0.00826306059
0.485,-0.488624802,-0.0699660812,1.34711406,1.58771269,-1.50038906,1.77369605,0.532703803,-0.189149585,-0.243921709,-1.35852194,1.64933614,1.12255363,1.38992341,0.370090795,0.359835157,-0.800756022,0.00828333784
0.49,-0.470421776,-0.0681935857,1.3567838,1.58782033,-1.49910822,1.77631151,0.516072187,-0.187525614,-0.229835771,-1.36750859,1.64933614,1.13154572,1.40265773,0.35148757,0.343690488,-0.792510002,0.00830347505
0.495,-0.452258472,-0.0664394099,1.36633754,1.58792943,-1.4976476,1.77872197,0.499462038,-0.185596029,-0.215690497,-1.37627927,1.64933614,1.14033257,1.41526874,0.333122845,0.327817348,-0.784060919,0.00832344834
0.5,-0.434155445,-0.0647043367,1.37576478,1.58803998,-1.49601075,1.78093324,0.482901214,-0.183364554,-0.201514729,-1.38483181,1.64933614,1.14891339,1.42774978,0.314998113,0.312228532,-0.775426422,0.00834323196
0.505,-0.416133219,-0.0629891341,1.38505546,1.58815241,-1.49420255,1.78295171,0.46641773,-0.180836465,-0.187337651,-1.39316424,1.64933614,1.15728659,1.44009412,0.297116156,0.296936334,-0.766624963,0.0083628027
0.51,-0.398212261,-0.0612945547,1.39419993,1.58826654,-1.49222814,1.78478433,0.450038649,-0.178019109,-0.173187587,-1.40127524,1.64933614,1.16545134,1.4522949,0.279480087,0.281952112,-0.757674508,0.00838213578
0.515,-0.380412962,-0.0596213353,1.4031891,1.58838248,-1.49009378,1.78643852,0.433790796,-0.174921396,-0.159092737,-1.40916372,1.64933614,1.1734061,1.46434523,0.262094273,0.267286675,-0.74859387,0.00840120861
0.52,-0.362755608,-0.0579701964,1.41201441,1.58850013,-1.48780635,1.78792218,0.417700167,-0.171553998,-0.145080533,-1.41682918,1.64933614,1.18114994,1.47623816,0.244963452,0.252949922,-0.739401517,0.00841999891
0.525,-0.345260361,-0.0563418414,1.42066787,1.5886193,-1.4853734,1.78924364,0.401791947,-0.167929201,-0.131177634,-1.4242715,1.64933614,1.18868178,1.48796672,0.228093201,0.238951033,-0.730116262,0.0084384853
0.53,-0.327947237,-0.0547369568,1.42914211,1.58873981,-1.48280323,1.79041163,0.386090452,-0.164060804,-0.117409843,-1.43149104,1.64933614,1.19600084,1.49952393,0.211489647,0.225298375,-0.720756911,0.00845664758
0.535,-0.310836077,-0.0531562111,1.43743037,1.58886123,-1.48010457,1.79143518,0.370618881,-0.159964094,-0.103801817,-1.43848842,1.64933614,1.20310586,1.51090282,0.195159942,0.211999646,-0.711342952,0.00847446606
0.54,-0.293946532,-0.0516002545,1.44552655,1.58898318,-1.47728688,1.79232366,0.355399479,-0.155655625,-0.0903772294,-1.4452648,1.64933614,1.20999626,1.52209646,0.179111463,0.199061649,-0.701893483,0.00849192264
0.545,-0.277298033,-0.0500697188,1.45376078,1.59263554,-1.47772303,1.79308668,0.343750576,-0.149788274,-0.081035188,-1.45182174,1.64933614,1.2166714,1.53309794,0.163352284,0.186490451,-0.69242791,0.00852455423
0.55,-0.260909774,-0.0485652165,1.46208745,1.5994022,-1.48101899,1.79373406,0.3352375,-0.14266979,-0.0753759429,-1.45816112,1.64933614,1.22313076,1.54390045,0.147891012,0.174291353,-0.682965745,0.00857255961
0.555,-0.244800689,-0.0470873408,1.47019823,1.60606077,-1.48411594,1.79427579,0.326850942,-0.13559879,-0.0698886052,-1.46428527,1.64933614,1.22937415,1.55449724,0.132736611,0.162468873,-0.67352641,0.00862225953
0.56,-0.228989426,-0.045636665,1.4780914,1.61260112,-1.48701819,1.79472199,0.318602116,-0.128590859,-0.0645767976,-1.47019669,1.64933614,1.23540095,1.56488168,0.117898887,0.151026865,-0.664129932,0.00867346017
0.565,-0.213494332,-0.0442137422,1.48576564,1.61901356,-1.48973054,1.79508285,0.310502083,-0.121661306,-0.0594435771,-1.47589845,1.64933614,1.24121146,1.57504723,0.103387509,0.139968359,-0.654795624,0.00872595884
0.57,-0.198333426,-0.0428191049,1.49321995,1.62528882,-1.4922582,1.79536861,0.30256173,-0.114825132,-0.0544914562,-1.48139367,1.64933614,1.24680534,1.5849875,0.0892130601,0.129295776,-0.645543577,0.00877954548
0.575,-0.183524381,-0.0414532648,1.50045369,1.63141808,-1.49460675,1.7955895,0.294791757,-0.108096994,-0.0497224254,-1.48668604,1.64933614,1.25218331,1.59469625,0.075385751,0.119010765,-0.636392902,0.00883400409
0.58,-0.169084501,-0.0401167122,1.50746647,1.63739295,-1.49678207,1.79575574,0.287202663,-0.10149118,-0.0451379795,-1.49177919,1.64933614,1.25734521,1.6041674,0.0619168383,0.109114428,-0.627363733,0.00888911409
0.585,-0.155030707,-0.0388099161,1.5142582,1.64320544,-1.49879034,1.79587745,0.279804734,-0.0950215772,-0.0407391477,-1.49633458,1.64826653,1.26107487,1.61339549,0.0497578259,0.0996703146,-0.619770196,0.00894465175
0.59,-0.141379507,-0.0375333235,1.52082901,1.64884796,-1.50063788,1.79596465,0.272608025,-0.0887016553,-0.0365265148,-1.49966111,1.64391268,1.26090517,1.62237393,0.0408645893,0.0907397354,-0.616302521,0.00900039139
0.595,-0.128146988,-0.0362873594,1.52682362,1.64933614,-1.49763075,1.79602517,0.261354123,-0.0840346966,-0.0269543928,-1.50255259,1.6387228,1.25965673,1.63109754,0.0330982373,0.0821216025,-0.614013398,0.00901032713
