t_s,theta_rad,s_m,phi_L,phi_R,d_min_m,max_qdot_rad_s
1.96,0.44880672703843194,-0.12910429516570435,0.08391731523392075,0.08821179747964385,0.008112260698399439,0.1508791051428593
1.97,0.44761229567732475,-0.12907762058801864,0.08360117800948494,0.08808057358871343,0.008113544254715863,0.15130082112026488
1.98,0.4464122190130376,-0.12904793184978755,0.083292823633601,0.087952491556398,0.008114823038335509,0.1517900087091184
1.99,0.44520656818051796,-0.1290152669316378,0.08299109439780289,0.08782894652254078,0.008116100274662677,0.15233901796884441
2.0,0.4439954181521631,-0.12897966586310072,0.08269472684194619,0.0877121250323126,0.008117379494628107,0.1529545834406565
2.0100000000000002,0.4427788477804745,-0.1289411707453873,0.08240334738460654,0.08760276902384254,0.008118661565261878,0.15357542529548796
2.02,0.4415569398407143,-0.12889982577416262,0.08211702626613254,0.08750020319513174,0.00811994601643752,0.15417060860261622
2.0300000000000002,0.44032978107356013,-0.12885567726232072,0.0818357747462141,0.08740283143623861,0.008121232539536512,0.1547435150070331
2.04,0.4390974622277608,-0.12880877366275945,0.08155901830126817,0.0873093082281867,0.008122522561019635,0.15533358637699335
2.05,0.43786007810279126,-0.12875916559115497,0.0812851359550404,0.0872189927674936,0.008123820622152292,0.15601190274664445
2.06,0.4366177275915085,-0.12870690584873654,0.08101355181490356,0.08713182851822245,0.008125128133728022,0.15670645516587256
2.07,0.43537051372280705,-0.12865204944506142,0.08074440393080289,0.0870480995710114,0.008126429663327803,0.15641869405795816
2.08,0.43411854370427383,-0.1285946536207895,0.08047156233755225,0.08696785382145214,0.008127753450816323,0.15719296158264173
2.09,0.4328619289648441,-0.12853477787045794,0.08019220940252118,0.08689164611661004,0.00812911195523726,0.1584181853917621
2.1,0.43160078519745637,-0.12847248396525598,0.07990646912199728,0.08681957293219061,0.008130506209572962,0.15961178151412958
2.11,0.4303352324017087,-0.12840783597579983,0.0796158664715039,0.08675107998690697,0.008131961987985513,0.16069941541150268
2.12,0.42906539492651286,-0.12834090029490702,0.07932135338378422,0.08668526952305006,0.00813344426803763,0.16167089123961254
2.13,0.42779140151275097,-0.12827174566037164,0.07902301926580542,0.0866214350369865,0.00813495239625885,0.1626095923936477
2.14,0.42651338533593,-0.12820044317773854,0.07872161072162265,0.08655757498611825,0.008136483655425422,0.16346962580846558
2.15,0.4252314840488377,-0.12812706634307858,0.07841880421568924,0.0864910124629842,0.008138032408348733,0.1641862026670049
2.16,0.4239458398241981,-0.1280516910657629,0.07811438173470371,0.08642135662642436,0.00813959890426206,0.16488906249206292
2.17,0.42265647351626945,-0.12797436213124477,0.07780704274256997,0.08635054255752952,0.008141186968288538,0.16566982710879974
2.18,0.42136279097598456,-0.1278949608548088,0.07749548125495487,0.08628057710045145,0.00814280147133012,0.1666147144757768
2.19,0.4200640265325255,-0.1278133218396556,0.07718044066285067,0.08621112819212616,0.008144441179433689,0.16760603639134897
2.2,0.41875943872089666,-0.12772928491494617,0.07686276211818033,0.08613961025989741,0.008146102684836983,0.16852520532636417
2.21,0.41744831011267225,-0.12764269510220744,0.07654381519598238,0.08606171290307432,0.008147766320668047,0.168476266961326
2.22,0.41612994708731177,-0.12755340256593187,0.07623662302685254,0.08597162135793954,0.008149410387628734,0.1686839633190551
2.23,0.4148036796034764,-0.12746126256417742,0.07594371803519599,0.08586792277787939,0.008151027297007724,0.16868585389090418
2.24,0.4134688609703444,-0.12736613539916733,0.0756675707590329,0.08575087783309758,0.008152609877192,0.16854586704761476
2.25,0.4121248676189276,-0.1272678863678898,0.07540861730878524,0.08561904654755384,0.008154158242675567,0.16860410605286646
2.2600000000000002,0.41077109887338653,-0.12716638571269787,0.07516451072362534,0.08547211843459994,0.008155680493027307,0.16889480781305255
2.27,0.4094069767223474,-0.1270615085719092,0.07493337217201762,0.08531033594078512,0.008157183241432973,0.16938245363654625
2.2800000000000002,0.4080319455902167,-0.1269531349304059,0.07471274025221639,0.08513739939696283,0.008158674913587783,0.17010435056432627
2.29,0.40664547210849844,-0.12684114957023424,0.07449952754606776,0.08495686963117809,0.00816016589132787,0.17110096496819605
2.3000000000000003,0.405247044887109,-0.12672544202120453,0.07429156200909338,0.08477009622763038,0.008161663668886444,0.17230589624751547
2.31,0.4038361742856938,-0.12660590651149087,0.07408865840123317,0.08457490254576444,0.008163169469664215,0.1735781819215687
