t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7,position_error_m,clearance_L_m,clearance_R_m,collision,rotation_L_rad,rotation_R_rad,margin_L_rad,margin_R_rad
17.185,0.615954523735,-0.0379513950419,1.52611456597,1.64933614313,-1.20217697324,1.49382896742,-0.370988973762,0.3981069371,0.438041772875,-1.43207430309,1.5425574518,1.35917147408,1.83255383503,-0.547617497729,-0.230291548784,-0.1358842905,2.0490308145e-16,0.00901069879426,0.00515017982221,0,2.03960993327e-16,3.38799977399e-16,2.22044604925e-16,0.0503009413457
17.19,0.611279635636,-0.0368149953778,1.53052185331,1.64933614313,-1.20460643003,1.50011801823,-0.365630707811,0.393263606492,0.436187230583,-1.4359518803,1.54227984634,1.35817591484,1.83594679155,-0.54373992052,-0.230923503742,-0.139627813394,1.57621370006e-16,0.00900838882385,0.00502938794002,0,1.9675159944e-16,5.41944938641e-16,2.22044604925e-16,0.0500233358817
17.195,0.606269501906,-0.035698303202,1.53490462798,1.64933614313,-1.20720016783,1.50644705408,-0.360050813228,0.388188412758,0.434139929411,-1.43988862806,1.5422826739,1.35738744674,1.83916241182,-0.539803172764,-0.231279725341,-0.143416821107,1.1938124471e-16,0.00900609217479,0.0050002,0,1.71096858985e-16,2.03960993327e-16,0,0.0500261634418
17.2,0.600934132685,-0.0346019623049,1.53925689592,1.64933614313,-1.2099507996,1.51281092594,-0.354259862354,0.38289183092,0.431902737517,-1.44383926218,1.54237533262,1.35662465011,1.84220025456,-0.535629421331,-0.231475042727,-0.147437969341,1.72218817623e-16,0.00900381202279,0.0050002,0,5.71522281777e-16,1.39470041365e-16,0,0.0501188221612
17.205,0.595283957917,-0.0335265989354,1.54357262926,1.64933614313,-1.21285077187,1.51920441712,-0.348268434549,0.377384642809,0.429478819554,-1.44777989174,1.54246870938,1.35580306422,1.84506007198,-0.531141468067,-0.2315610273,-0.151773784643,2.20739728171e-16,0.00900155155674,0.0050002,0,4.39073555835e-16,4.94952814848e-16,2.22044604925e-16,0.0502121989283
17.21,0.589329813481,-0.0324728213686,1.54784578991,1.64933614313,-1.21589238447,1.52562224014,-0.342087105514,0.371677908241,0.426871636967,-1.45170575299,1.54256279438,1.35492239817,1.84774181651,-0.526349693689,-0.231535202606,-0.156414266316,3.12173117334e-16,0.00899931396575,0.0050002,0,2.3876248942e-16,5.72868625885e-16,0,0.0503062839256
17.215,0.583082926802,-0.031441219488,1.55207035317,1.64933614313,-1.21906781012,1.53205903385,-0.335726438425,0.365782936289,0.424084947381,-1.45572111627,1.54315339083,1.35444551369,1.85024564695,-0.521744893591,-0.231105103701,-0.16083017103,1.64789599841e-16,0.00899710242638,0.00516272833883,0,4.94173974374e-16,3.86590434031e-16,2.22044604925e-16,0.0508968803744
17.22,0.576554901948,-0.0304323643822,1.55619721905,1.64921784965,-1.22222375996,1.53850936103,-0.329276111245,0.359758006778,0.421268987587,-1.45949361,1.54275303417,1.35298290713,1.85257193416,-0.51589847333,-0.231138650231,-0.166566310252,3.80818230672e-16,0.00899494264913,0.0050002,0,8.2383111886e-16,7.75171040899e-16,0.00011829348607,0.0504965237125
17.225,0.569757704234,-0.0294468079577,1.56018297316,1.6488737797,-1.22522395237,1.54496770639,-0.322817765889,0.353653587248,0.418560203651,-1.46334562513,1.54284915194,1.35192379594,1.85472126607,-0.510262011183,-0.230763513477,-0.172055019021,1.75541673429e-16,0.0089928573367,0.0050002,0,1.62435341715e-16,2.32634114947e-16,0.000462363429957,0.0505926414819
17.23,0.562703644363,-0.0284850825664,1.56402634392,1.64830990586,-1.2280729876,1.55142847513,-0.316356997146,0.347473753015,0.415954806457,-1.46716294744,1.54294590277,1.35080506507,1.85669445197,-0.50436765976,-0.230267823806,-0.177802735838,1.59443642915e-16,0.00899084712131,0.0050002,0,4.48405047021e-16,2.42365144573e-16,0.00102623727286,0.0506893923139
